file,member,phrase,label_authorized,spectral_rolloff,spectral_centroid,rms_energy,zcr,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12
impostor1_confirm_transaction.wav,impostor1,confirm_transaction,0,5512.3483577244715,2818.441256414072,0.06892786920070648,0.1528870488556338,-274.40460205078125,44.53004837036133,-3.6360809803009033,29.978673934936523,-7.009276866912842,1.2786521911621094,-11.345534324645996,-19.789541244506836,-4.152729034423828,0.04114765673875809,-11.81281852722168,-0.6653258800506592,-11.738838195800781,162.13555908203125,45.28677749633789,31.902576446533203,32.18043518066406,19.758935928344727,17.68535804748535,20.411827087402344,23.53976821899414,13.139577865600586,11.397990226745605,9.520713806152344,7.829524993896484,12.976776123046875
impostor1_yes_approve.wav,impostor1,yes_approve,0,6094.8409231085525,3194.7236772963465,0.05264249071478844,0.17596970942982457,-339.1825866699219,38.68285369873047,0.05523199960589409,34.281436920166016,-10.660929679870605,-3.138385534286499,-8.711459159851074,-17.621566772460938,-6.375677108764648,-3.859929323196411,-11.644445419311523,2.7338004112243652,-14.852703094482422,177.14163208007812,48.30133056640625,27.782949447631836,39.523834228515625,27.683359146118164,26.372676849365234,16.054645538330078,20.1060733795166,20.50861167907715,14.643716812133789,9.262625694274902,8.22492790222168,13.558357238769531
impostor2_confirm_transaction.wav,impostor2,confirm_transaction,0,3414.043540142952,1886.1635422896884,0.05119945481419563,0.10762445977393617,-336.24969482421875,83.02830505371094,-10.541193962097168,29.781558990478516,1.1431115865707397,-1.4511619806289673,4.528782844543457,-13.072197914123535,-28.477201461791992,9.23747444152832,-7.2559990882873535,7.025481700897217,-6.958726406097412,195.1376495361328,89.55120086669922,33.764644622802734,34.715301513671875,28.283172607421875,15.936678886413574,29.843955993652344,21.610727310180664,29.59309959411621,19.97210693359375,13.50057315826416,15.550607681274414,12.843053817749023
impostor2_yes_approve.wav,impostor2,yes_approve,0,2899.1766357421875,1660.2634917171915,0.036051444709300995,0.095098876953125,-420.7720642089844,70.5568618774414,-17.320043563842773,32.594200134277344,10.891000747680664,3.2254250049591064,3.9622578620910645,-13.594274520874023,-23.666152954101562,7.018017768859863,-14.505404472351074,4.942525863647461,0.004667473025619984,201.5149688720703,95.05428314208984,28.919628143310547,48.68702697753906,33.10954284667969,29.509546279907227,22.31407356262207,22.38309097290039,30.17133331298828,17.336841583251953,20.029376983642578,10.573149681091309,10.759980201721191
member1_confirm_transaction.wav,member1,confirm_transaction,1,3633.5286458333335,2036.3580364046027,0.052288491278886795,0.11405888310185185,-324.46759033203125,74.18405151367188,-14.366756439208984,38.27820587158203,16.743087768554688,-0.16585767269134521,-10.767148971557617,-14.22597599029541,-26.05193519592285,12.931562423706055,-10.981154441833496,2.9204065799713135,0.7065795660018921,181.8695068359375,80.75220489501953,36.950443267822266,29.801862716674805,25.618396759033203,16.064373016357422,26.452476501464844,26.621801376342773,30.578136444091797,25.588991165161133,18.18035316467285,12.623523712158203,16.6546573638916
member1_yes_approve.wav,member1,yes_approve,1,3030.029296875,1717.44376041916,0.04469837620854378,0.08786272321428572,-395.2392272949219,69.24563598632812,-15.291735649108887,39.362606048583984,13.836385726928711,-1.0947208404541016,0.9116366505622864,-6.911809921264648,-28.815492630004883,4.536210536956787,-14.867609977722168,1.4357467889785767,2.045304775238037,180.47396850585938,86.64690399169922,27.02130126953125,52.31474304199219,32.21575927734375,37.41867446899414,26.388235092163086,19.65900421142578,33.98787307739258,25.54835319519043,24.19110107421875,10.163236618041992,17.51829719543457
impostor1_confirm_transaction_pitch.wav,impostor1,confirm_transaction,0,6058.108907350352,3135.812964042687,0.044687800109386444,0.17671654929577466,-297.5773620605469,40.74800491333008,-0.19480086863040924,25.22821807861328,-11.706796646118164,-0.9029898047447205,-20.196908950805664,-14.586155891418457,2.730353832244873,-5.465571403503418,-7.263460636138916,-3.2218496799468994,-1.7168899774551392,166.3738555908203,37.81407165527344,32.225624084472656,33.912601470947266,14.09000301361084,24.880800247192383,17.80484962463379,17.543764114379883,17.23652458190918,6.938580513000488,10.21070384979248,11.056331634521484,6.943204879760742
impostor1_confirm_transaction_stretch.wav,impostor1,confirm_transaction,0,5533.644048851656,2804.0981752019284,0.05052724480628967,0.14953760353915663,-295.5892333984375,47.50598907470703,-3.688994884490967,30.42548179626465,-7.439580917358398,2.1945462226867676,-13.17077350616455,-20.63362693786621,-4.102956295013428,1.6813348531723022,-11.224531173706055,-1.4334582090377808,-12.27672290802002,160.33953857421875,39.69850540161133,30.577205657958984,33.78491973876953,21.139686584472656,17.861541748046875,20.458471298217773,21.424280166625977,13.128216743469238,11.02144718170166,8.675995826721191,7.937880039215088,11.427399635314941
impostor1_confirm_transaction_noise.wav,impostor1,confirm_transaction,0,6794.483797315141,3664.743564837988,0.06980716437101364,0.25399565360915494,-204.77337646484375,31.207378387451172,-1.8200825452804565,18.540470123291016,-5.383684158325195,1.6922181844711304,-7.919488430023193,-16.100914001464844,-4.400588512420654,-1.879876971244812,-8.575077056884766,-2.4535932540893555,-7.3332014083862305,70.48973083496094,39.15135955810547,23.689529418945312,26.233440399169922,15.936822891235352,14.779707908630371,16.535724639892578,20.458759307861328,9.64126968383789,9.511517524719238,7.50343132019043,7.768747806549072,9.855533599853516
impostor1_yes_approve_pitch.wav,impostor1,yes_approve,0,6562.715871710527,3434.7995219782965,0.03516361117362976,0.19148334703947367,-361.06280517578125,37.80961227416992,1.500929832458496,26.301843643188477,-17.683216094970703,-4.956486701965332,-15.354423522949219,-15.55684757232666,0.43754926323890686,-10.179136276245117,-4.177967071533203,-3.706803321838379,-5.187318801879883,183.9866180419922,43.46455383300781,30.51359748840332,33.795555114746094,33.81874465942383,18.69247055053711,16.89558982849121,23.151662826538086,18.10759925842285,13.308979034423828,7.980469703674316,9.272210121154785,9.831856727600098
